Time Range,Flag,Geartype,Vessel IDs,Vessel Presence Hours
2024-02-17,BMU,,4,73.00
2024-02-17,SLE,,6,85.00
2024-02-23,DEU,,11,107.00
2024-02-10,SLE,,6,119.00
2024-02-03,VCT,,6,98.00
2024-02-04,BRB,,3,18.00
2024-02-01,BRB,,3,41.00
2024-02-10,CYP,,35,471.00
2024-02-05,ETH,,1,24.00
2024-02-21,SAU,,5,75.00
2024-02-16,TUR,,1,14.00
2024-02-11,PHL,,5,43.00
2024-02-19,IND,,4,32.00
2024-02-05,DNK,,20,291.00
2024-02-07,ITA,,2,47.00
2024-02-08,NIU,,4,44.00
2024-02-02,TWN,,10,109.00
2024-02-15,BGD,,15,273.00
2024-02-26,HKG,,162,2373.00
2024-02-29,VUT,,1,14.00
2024-02-28,FRA,,4,45.00
2024-02-26,MUS,,1,23.00
2024-02-29,NPL,,1,10.00
2024-02-29,JOR,,1,24.00
2024-02-29,COK,,3,52.00
2024-02-24,COK,,5,60.00
2024-02-20,DMA,,2,2.00
2024-02-25,FRA,,3,55.00
2024-02-04,LBY,,1,7.00
2024-02-16,LUX,,4,82.00
2024-02-22,NIU,,6,82.00
2024-02-01,NIU,,5,75.00
2024-02-08,NRU,,1,24.00
2024-02-27,TUV,,10,176.00
2024-02-13,NOR,,17,306.00
2024-02-13,LKA,,1,24.00
2024-02-23,ERI,,1,24.00
2024-03-03,LUX,,5,96.00
2024-02-21,HRV,,1,24.00
2024-02-03,CYM,,7,136.00
2024-03-03,BMU,,7,119.00
2024-03-02,SAU,,9,72.00
2024-03-04,BEL,,4,76.00
2024-03-04,TUV,,6,106.00
2024-03-01,CMR,,2,36.00
2024-03-03,TUV,,10,103.00
2024-03-01,CYM,,4,71.00
2024-03-03,COK,,6,107.00
2024-03-03,GUY,,1,2.00
2024-03-04,BES,,2,10.00
2024-03-03,NPL,,1,12.00
2024-02-12,BRA,,1,22.00
2024-02-14,NIU,,3,49.00
2024-02-24,FJI,,1,5.00
2024-02-08,COK,,3,47.00
2024-02-17,AUS,,8,57.00
2024-02-13,PCN,,1,10.00
2024-02-12,TUV,,8,114.00
2024-02-18,JOR,,1,24.00
2024-02-13,KWT,,5,31.00
2024-03-01,DEU,,5,52.00
2024-03-06,TWN,,18,259.00
2024-03-06,STP,,1,15.00
2024-03-06,MDA,,1,1.00
2024-03-07,ZAF,,1,24.00
2024-03-07,TUV,,10,178.00
2024-03-08,CYM,,5,64.00
2024-02-23,HKG,,196,3092.00
2024-02-19,FRO,,7,54.00
2024-02-19,PRT,,21,324.00
2024-02-17,SGP,,320,4601.00
2024-02-10,LBR,,336,5168.00
2024-02-11,MHL,,259,4020.00
2024-02-08,FRO,,10,86.00
2024-02-05,CPV,,7,52.00
2024-02-05,GRC,,31,499.00
2024-02-01,GRC,,22,244.00
2024-02-08,CYM,,12,149.00
2024-02-21,CYM,,11,191.00
2024-02-21,COK,,3,55.00
2024-02-20,BEL,,1,16.00
2024-02-23,BMU,,3,51.00
2024-02-10,COM,,1,16.00
2024-02-03,DNK,,17,197.00
2024-02-25,KWT,,3,48.00
2024-02-10,LBY,,1,9.00
2024-02-15,TGO,,1,17.00
2024-02-04,FRA,,4,53.00
2024-02-09,BRB,,2,37.00
2024-02-14,BRN,,1,3.00
2024-02-18,MMR,,1,7.00
2024-02-05,BES,,2,40.00
2024-02-10,ZAF,,1,2.00
2024-02-28,ESP,,1,19.00
2024-02-26,IRN,,10,111.00
2024-02-28,BGD,,10,165.00
2024-02-27,MNP,,1,4.00
2024-02-29,PNG,,1,2.00
2024-02-27,NPL,,1,17.00
2024-02-26,BEL,,4,61.00
2024-02-18,ATG,,3,49.00
2024-02-07,BMU,,7,61.00
2024-02-18,BRA,,2,18.00
2024-02-21,DEU,,5,34.00
2024-02-03,DEU,,3,47.00
2024-02-17,DMA,,4,34.00
2024-02-05,GIN,,1,1.00
2024-02-10,ITA,,4,33.00
2024-02-21,LUX,,4,78.00
2024-02-17,LUX,,4,93.00
2024-02-10,NIU,,6,90.00
2024-02-06,NLD,,12,242.00
2024-02-19,NRU,,1,24.00
2024-02-05,NRU,,1,24.00
2024-02-13,PHL,,5,67.00
2024-02-01,USA,,6,78.00
2024-02-27,ITA,,1,11.00
2024-02-10,EGY,,1,16.00
