Time Range,Flag,Geartype,Vessel IDs,Apparent Fishing Hours
2024-02-16,MYS,trawlers,1,4.50
2024-02-14,NOR,trawlers,1,23.90
2024-02-26,TUV,pole_and_line,1,16.71
2024-02-04,IDN,drifting_longlines,3,61.26
2024-02-14,IDN,set_longlines,5,96.72
2024-02-23,IDN,purse_seines,15,95.28
2024-02-24,IDN,set_longlines,5,96.04
2024-02-09,IDN,set_longlines,3,75.24
2024-02-25,IDN,fishing,16,300.10
2024-02-17,,drifting_longlines,1,12.88
2024-02-10,IDN,purse_seines,6,143.19
2024-02-06,IDN,trawlers,13,279.47
2024-02-15,IDN,squid_jigger,1,8.81
2024-02-03,PAN,dredge_fishing,1,8.15
2024-02-18,IDN,set_gillnets,1,23.84
2024-02-05,IDN,pots_and_traps,1,1.06
2024-02-20,IDN,pots_and_traps,1,10.89
2024-02-17,IDN,fishing,9,179.53
2024-02-11,IDN,drifting_longlines,4,83.28
2024-02-24,IDN,drifting_longlines,7,117.63
2024-02-05,IDN,drifting_longlines,4,102.85
2024-02-13,IDN,set_longlines,7,156.34
2024-02-20,SGP,other_seines,1,16.03
2024-02-15,SGP,other_seines,1,23.98
2024-02-18,SGP,other_seines,1,7.80
2024-02-24,MHL,tuna_purse_seines,1,24.20
2024-02-09,LBR,set_longlines,1,19.06
2024-02-11,LBR,set_longlines,1,24.70
2024-02-08,IDN,purse_seines,6,55.42
2024-02-18,IDN,pole_and_line,1,1.43
2024-02-26,IDN,pole_and_line,1,23.98
2024-02-24,IDN,pole_and_line,2,40.12
2024-02-07,IDN,pole_and_line,2,30.35
2024-02-27,IDN,pole_and_line,2,31.92
2024-02-21,IDN,pole_and_line,2,41.11
2024-02-03,IDN,set_longlines,9,105.81
2024-02-05,JPN,drifting_longlines,1,25.91
2024-02-11,PAN,fishing,2,15.98
2024-02-19,IDN,set_longlines,9,149.48
2024-02-16,IDN,set_longlines,4,45.91
2024-02-27,IDN,trawlers,11,232.37
2024-02-09,IDN,pole_and_line,1,3.06
2024-02-02,IDN,set_gillnets,3,71.68
2024-02-16,IDN,set_gillnets,3,71.90
2024-02-05,IDN,set_gillnets,2,49.22
2024-02-12,IDN,drifting_longlines,9,158.08
2024-02-04,JPN,drifting_longlines,2,45.56
2024-02-11,IDN,purse_seines,9,108.62
2024-02-22,IDN,other_purse_seines,4,54.91
2024-02-24,IDN,other_purse_seines,3,50.83
2024-02-26,LBR,tuna_purse_seines,1,23.75
2024-02-13,NOR,trawlers,2,39.97
2024-02-07,IDN,other_purse_seines,2,29.52
2024-02-07,LBR,dredge_fishing,1,6.26
2024-02-14,IDN,other_purse_seines,2,48.20
2024-02-12,IDN,trollers,1,23.97
2024-02-03,IDN,trollers,1,20.50
2024-02-21,IDN,squid_jigger,1,11.20
2024-02-11,IDN,set_longlines,6,121.76
2024-02-23,IDN,set_longlines,1,31.69
2024-02-26,IDN,squid_jigger,2,30.08
2024-02-18,NOR,trawlers,1,24.83
2024-02-20,NOR,trawlers,1,23.88
2024-02-24,JPN,drifting_longlines,1,24.00
2024-02-28,LBR,set_longlines,1,5.88
2024-02-09,TWN,fishing,1,13.16
2024-02-28,MHL,fishing,1,1.99
2024-02-09,PAN,fishing,1,3.00
2024-02-20,PAN,fishing,2,25.00
2024-02-17,PAN,fishing,1,0.97
2024-02-06,MNG,fishing,1,24.16
2024-02-08,MNG,fishing,1,14.53
2024-02-07,MNG,fishing,1,32.47
2024-02-11,MNG,fishing,1,32.56
2024-02-05,PAN,fishing,2,22.97
2024-02-21,IDN,other_purse_seines,3,56.26
2024-02-09,IDN,other_purse_seines,1,23.38
2024-02-22,SGP,trawlers,1,7.99
2024-02-25,PAN,dredge_fishing,1,3.01
2024-02-24,IDN,tuna_purse_seines,1,21.33
2024-02-03,MHL,tuna_purse_seines,1,17.44
2024-02-04,PAN,set_longlines,1,1.00
2024-02-23,PHL,tuna_purse_seines,1,4.16
2024-02-16,IDN,other_purse_seines,2,28.23
2024-02-18,IDN,other_purse_seines,3,48.83
2024-02-27,TWN,drifting_longlines,1,22.71
2024-02-17,LBR,pole_and_line,1,7.01
2024-02-09,LBR,tuna_purse_seines,1,12.00
2024-02-15,,fishing,1,3.02
2024-02-18,TWN,drifting_longlines,1,18.31
2024-02-06,LBR,other_purse_seines,1,5.97
2024-02-15,JPN,set_longlines,1,17.81
2024-02-23,SGP,fishing,1,23.06
2024-02-25,SGP,fishing,1,24.00
2024-02-24,SGP,fishing,1,23.95
2024-02-19,DNK,fishing,1,23.80
2024-02-11,LBR,dredge_fishing,2,31.89
2024-02-22,JPN,drifting_longlines,1,25.71
2024-02-24,IDN,other_seines,1,2.47
2024-02-16,NOR,trawlers,1,7.38
2024-02-27,MNG,trawlers,1,2.97
2024-02-26,MNG,trawlers,1,1.56
2024-02-10,MNG,trawlers,1,2.99
2024-02-06,MNG,trawlers,1,1.88
2024-02-04,MNG,trawlers,1,2.67
2024-02-24,MNG,trawlers,1,1.97
2024-02-26,IDN,set_gillnets,1,9.98
2024-02-21,JPN,set_longlines,1,24.00
2024-03-03,MNG,fishing,1,24.03
2024-03-06,MNG,fishing,1,20.70
2024-03-03,IDN,set_longlines,4,77.73
2024-03-03,TWN,drifting_longlines,2,31.31
2024-03-04,TWN,drifting_longlines,3,15.18
2024-03-01,PAN,dredge_fishing,1,13.91
2024-03-04,IDN,other_purse_seines,2,16.59
2024-03-01,VNM,fishing,1,4.29
2024-03-03,LBR,pole_and_line,1,4.01
2024-03-04,LBR,pole_and_line,1,7.99
2024-03-02,TWN,drifting_longlines,2,19.86
2024-03-01,TWN,drifting_longlines,1,6.05
2024-03-07,TWN,drifting_longlines,6,66.29
2024-03-06,TZA,fishing,1,11.03
2024-03-04,PAN,set_longlines,1,24.17
2024-03-02,BEL,other_seines,1,2.97
2024-03-07,LBR,fishing,1,8.00
2024-03-03,CHN,other_purse_seines,1,1.70
2024-03-04,PAN,pole_and_line,1,10.82
2024-03-07,IDN,other_purse_seines,4,39.34
2024-03-06,IDN,dredge_fishing,1,22.50
2024-03-02,TUV,pole_and_line,1,11.55
2024-03-08,LBR,fishing,2,47.97
2024-03-08,SGP,trawlers,1,8.98
2024-03-08,MNG,fishing,1,24.08
2024-03-08,IDN,dredge_fishing,1,43.23
2024-03-08,JPN,drifting_longlines,2,46.11
2024-03-08,IDN,set_gillnets,2,28.18
2024-03-06,IDN,squid_jigger,2,25.58
2024-03-06,IDN,drifting_longlines,6,131.30
2024-03-05,IDN,pole_and_line,1,24.99
2024-03-04,IDN,set_longlines,5,94.70
2024-03-01,IDN,trawlers,16,343.23
2024-03-07,IDN,purse_seines,6,86.38
2024-03-07,IDN,other_seines,2,37.51
2024-03-03,JPN,set_longlines,1,24.23
2024-03-02,IDN,other_purse_seines,2,23.29
2024-03-01,IDN,set_longlines,4,83.23
